FILENAME, FILE PATH, FILE TYPE, FILE FORMAT, CODEC, VIDEO DETAILS, AUDIO FORMAT 
Mix Services,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/Flip\ Video\ for\ Mac.app/Contents/MacOS/Xtras/Mac/Mix\ Services,,,,,
Mpeg Advance Xtra,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/Flip\ Video\ for\ Mac.app/Contents/MacOS/Xtras/Mac/Mpeg\ Advance\ Xtra,,,,,
Mui Dialog,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/Flip\ Video\ for\ Mac.app/Contents/MacOS/Xtras/Mac/Mui\ Dialog,,,,,
NetFile PPC Xtra,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/Flip\ Video\ for\ Mac.app/Contents/MacOS/Xtras/Mac/NetFile\ PPC\ Xtra,,,,,
NetLingo PPC Xtra,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/Flip\ Video\ for\ Mac.app/Contents/MacOS/Xtras/Mac/NetLingo\ PPC\ Xtra,,,,,
Info.plist,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/Flip\ Video\ for\ Mac.app/Contents/MacOS/Xtras/Mac/PDI\ uploader/LibCurl.bundle/Contents/Info.plist,plist,,,,
LibCurl,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/Flip\ Video\ for\ Mac.app/Contents/MacOS/Xtras/Mac/PDI\ uploader/LibCurl.bundle/Contents/MacOS/LibCurl,,,,,
PkgInfo,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/Flip\ Video\ for\ Mac.app/Contents/MacOS/Xtras/Mac/PDI\ uploader/LibCurl.bundle/Contents/PkgInfo,,,,,
InfoPlist.strings,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/Flip\ Video\ for\ Mac.app/Contents/MacOS/Xtras/Mac/PDI\ uploader/LibCurl.bundle/Contents/Resources/English.lproj/InfoPlist.strings,strings,,,,
LibCurl.rsrc,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/Flip\ Video\ for\ Mac.app/Contents/MacOS/Xtras/Mac/PDI\ uploader/LibCurl.bundle/Contents/Resources/LibCurl.rsrc,rsrc,,,,
PDI_Uploader,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/Flip\ Video\ for\ Mac.app/Contents/MacOS/Xtras/Mac/PDI\ uploader/PDI_Uploader,,,,,
PDTVideoMacXtra.xtr,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/Flip\ Video\ for\ Mac.app/Contents/MacOS/Xtras/Mac/PDTVideoMacXtra.xtr,xtr,,,,
PNG Import Export,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/Flip\ Video\ for\ Mac.app/Contents/MacOS/Xtras/Mac/PNG\ Import\ Export,,MPEG Audio,,,MPEG Audio
QuickTime6 Asset,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/Flip\ Video\ for\ Mac.app/Contents/MacOS/Xtras/Mac/QuickTime6\ Asset,,,,,
SecureNet Xtra.XTR,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/Flip\ Video\ for\ Mac.app/Contents/MacOS/Xtras/Mac/SecureNet\ Xtra.XTR,XTR,MPEG Audio,,,MPEG Audio
SharpExport Xtra,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/Flip\ Video\ for\ Mac.app/Contents/MacOS/Xtras/Mac/SharpExport\ Xtra,,,,,
shell.xtra,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/Flip\ Video\ for\ Mac.app/Contents/MacOS/Xtras/Mac/shell.xtra,xtra,,,,
SWA Decompression PPC Xtra,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/Flip\ Video\ for\ Mac.app/Contents/MacOS/Xtras/Mac/SWA\ Decompression\ PPC\ Xtra,,,,,
TextAsset PPC,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/Flip\ Video\ for\ Mac.app/Contents/MacOS/Xtras/Mac/TextAsset\ PPC,,,,,
TextXtra PPC,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/Flip\ Video\ for\ Mac.app/Contents/MacOS/Xtras/Mac/TextXtra\ PPC,,,,,
Winsock Lib,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/Flip\ Video\ for\ Mac.app/Contents/MacOS/Xtras/Mac/Winsock\ Lib,,,,,
